Object,tool,quantity,time,type
Armored Doorway,Stone Pickaxe,3221,19 hours 24 min 47 sec,Melee
Armored Doorway,Stone Pickaxe,309,1 hour 56 min 15 sec,Melee
Armored Doorway,Stone Spear,2598,12 hours 37 min 35 sec,Melee
Armored Doorway,Stone Spear,260,1 hour 15 min 46 sec,Melee
Armored Doorway,Longsword,1667,15 hours 16 min 40 sec,Melee
Armored Doorway,Longsword,167,1 hour 31 min 40 sec,Melee
Armored Doorway,Salvaged Sword,1250,14 hours 14 min 9 sec,Melee
Armored Doorway,Salvaged Sword,122,1 hour 25 min 21 sec,Melee
Armored Doorway,Torch,15385,148 hours 43 min 4 sec,Melee
Armored Doorway,TorchLit,57143,160 hours 19 min 2 sec,Melee
Armored Doorway,Torch,1539,14 hours 52 min 18 sec,Melee
Armored Doorway,TorchLit,5715,16 hours 1 min 54 sec,Melee
Armored Doorway,Wooden Spear,2353,17 hours 19 min 12 sec,Melee
Armored Doorway,Wooden Spear,236,1 hour 43 min 55 sec,Melee
Twig Window,40mm HE Grenade,1,1 sec,Explosive
Twig Window,Rocket,1,1 sec,Explosive
Twig Window,Incendiary Rocket,1,1 sec,Explosive
Twig Window,High Velocity Rocket,1,1 sec,Explosive
Twig Window,Timed Explosive Charge,1,10 sec,Explosive
Twig Window,Beancan Grenade ,1,6 sec,Explosive
Twig Window,Fire Arrow,1,1 sec,Explosive
Twig Window,F1 Grenade ,1,5 sec,Explosive
Twig Window,Flame Thrower,2,17 sec,Explosive
Twig Window,Satchel Charge,1,9 sec,Explosive
Twig Window,Explosive 5.56 Rifle Ammo,2,1 sec,Explosive
Twig Window,Explosive 5.56 Rifle Ammo,1,1 sec,Explosive
Twig Window,Flashlight,3,36 sec,Melee
Twig Window,Flashlight,1,4 sec,Melee
Twig Window,Jackhammer,1,5 sec,Melee
Twig Window,JackhammerWorkbench Refill,1,5 sec,Melee
Twig Window,Bone Club,2,30 sec,Melee
Twig Window,Bone Club,1,3 sec,Melee
Twig Window,Bone Knife,2,23 sec,Melee
Twig Window,Bone Knife,1,2 sec,Melee
Twig Window,Chainsaw,2,9 sec,Melee
Twig Window,Chainsaw,1,1 sec,Melee
Twig Window,Salvaged Cleaver,1,18 sec,Melee
Twig Window,Hatchet,1,18 sec,Melee
Twig Window,Combat Knife,2,11 sec,Melee
Twig Window,Combat Knife,1,1 sec,Melee
Twig Window,Mace,1,20 sec,Melee
Twig Window,Machete,1,15 sec,Melee
Twig Window,Paddle,1,21 sec,Melee
Twig Window,Pickaxe,1,25 sec,Melee
Twig Window,Rock,2,1 min 6 sec,Melee
Twig Window,Rock,1,6 sec,Melee
Twig Window,Salvaged Axe,1,16 sec,Melee
Twig Window,Salvaged Hammer,1,17 sec,Melee
Twig Window,Salvaged Icepick,1,16 sec,Melee
Twig Window,Stone Hatchet,2,31 sec,Melee
Twig Window,Stone Hatchet,1,3 sec,Melee
Twig Window,Stone Pickaxe,2,28 sec,Melee
Twig Window,Stone Pickaxe,1,2 sec,Melee
Twig Window,Stone Spear,2,23 sec,Melee
Twig Window,Stone Spear,1,3 sec,Melee
Twig Window,Longsword,1,14 sec,Melee
Twig Window,Salvaged Sword,1,12 sec,Melee
Twig Window,Torch,4,2 min 13 sec,Melee
Twig Window,TorchLit,3,24 sec,Melee
Twig Window,Torch,1,13 sec,Melee
Twig Window,TorchLit,1,9 sec,Melee
Twig Window,Wooden Spear,2,31 sec,Melee
Twig Window,Wooden Spear,1,3 sec,Melee
Wooden Window,40mm HE Grenade,8,8 sec,Explosive
Wooden Window,Rocket,2,6 sec,Explosive
Wooden Window,Incendiary Rocket,1,20 sec,Explosive
Wooden Window,High Velocity Rocket,9,48 sec,Explosive
Wooden Window,High Velocity Rocket,8,42 sec,Explosive
Wooden Window,Timed Explosive Charge,1,10 sec,Explosive
Wooden Window,Beancan Grenade ,13,51 sec,Explosive
Wooden Window,Fire Arrow,125,2 min 4 sec,Explosive
Wooden Window,F1 Grenade ,59,2 min 59 sec,Explosive
Wooden Window,Flame Thrower,206,44 sec,Explosive
Wooden Window,Satchel Charge,3,12 sec,Explosive
Wooden Window,Explosive 5.56 Rifle Ammo,49,21 sec,Explosive
Wooden Window,Explosive 5.56 Rifle Ammo,44,15 sec,Explosive
Wooden Window,Flashlight,642,2 hours 29 min 35 sec,Melee
Wooden Window,Flashlight,65,14 min 58 sec,Melee
Wooden Window,Jackhammer,22,4 min 31 sec,Melee
Wooden Window,JackhammerWorkbench Refill,2,6 min 35 sec,Melee
Wooden Window,Jackhammer,3,27 sec,Melee
Wooden Window,JackhammerWorkbench Refill,1,31 sec,Melee
Wooden Window,Bone Club,435,2 hours 8 min 45 sec,Melee
Wooden Window,Bone Club,44,12 min 52 sec,Melee
Wooden Window,Bone Knife,42,12 min 50 sec,Melee
Wooden Window,Bone Knife,4,1 min 16 sec,Melee
Wooden Window,Chainsaw,35,4 min 2 sec,Melee
Wooden Window,Chainsaw,3,23 sec,Melee
Wooden Window,Salvaged Cleaver,11,7 min 8 sec,Melee
Wooden Window,Salvaged Cleaver,1,42 sec,Melee
Wooden Window,Hatchet,12,11 min 54 sec,Melee
Wooden Window,Hatchet,2,1 min 12 sec,Melee
Wooden Window,Combat Knife,37,6 min 9 sec,Melee
Wooden Window,Combat Knife,4,36 sec,Melee
Wooden Window,Mace,132,1 hour 25 min 31 sec,Melee
Wooden Window,Mace,14,8 min 33 sec,Melee
Wooden Window,Machete,14,6 min 11 sec,Melee
Wooden Window,Machete,2,37 sec,Melee
Wooden Window,Paddle,97,1 hour 28 min 24 sec,Melee
Wooden Window,Paddle,10,8 min 50 sec,Melee
Wooden Window,Pickaxe,11,15 min 47 sec,Melee
Wooden Window,Pickaxe,1,1 min 34 sec,Melee
Wooden Window,Rock,368,4 hours 36 min 57 sec,Melee
Wooden Window,Rock,37,27 min 41 sec,Melee
Wooden Window,Salvaged Axe,6,7 min 2 sec,Melee
Wooden Window,Salvaged Axe,1,42 sec,Melee
Wooden Window,Salvaged Hammer,58,1 hour 10 min 24 sec,Melee
Wooden Window,Salvaged Hammer,6,7 min 2 sec,Melee
Wooden Window,Salvaged Icepick,8,8 min 48 sec,Melee
Wooden Window,Salvaged Icepick,1,52 sec,Melee
Wooden Window,Stone Hatchet,46,18 min 36 sec,Melee
Wooden Window,Stone Hatchet,5,1 min 52 sec,Melee
Wooden Window,Stone Pickaxe,96,34 min 28 sec,Melee
Wooden Window,Stone Pickaxe,10,3 min 27 sec,Melee
Wooden Window,Stone Spear,65,18 min 56 sec,Melee
Wooden Window,Stone Spear,7,1 min 54 sec,Melee
Wooden Window,Longsword,11,5 min 44 sec,Melee
Wooden Window,Longsword,1,34 sec,Melee
Wooden Window,Salvaged Sword,8,5 min 19 sec,Melee
Wooden Window,Salvaged Sword,1,31 sec,Melee
Wooden Window,Torch,962,9 hours 17 min 41 sec,Melee
Wooden Window,TorchLit,325,54 min 38 sec,Melee
Wooden Window,Torch,97,55 min 46 sec,Melee
Wooden Window,TorchLit,179,30 min 3 sec,Melee
Wooden Window,Wooden Spear,59,25 min 58 sec,Melee
Wooden Window,Wooden Spear,6,2 min 35 sec,Melee
Stone Window,40mm HE Grenade,29,33 sec,Explosive
Stone Window,40mm HE Grenade,27,32 sec,Explosive
Stone Window,Rocket,4,18 sec,Explosive
Stone Window,High Velocity Rocket,32,3 min 6 sec,Explosive
Stone Window,High Velocity Rocket,31,3 min ,Explosive
Stone Window,Timed Explosive Charge,2,11 sec,Explosive
Stone Window,Beancan Grenade ,46,2 min 55 sec,Explosive
Stone Window,F1 Grenade ,182,9 min 8 sec,Explosive
Stone Window,Satchel Charge,10,22 sec,Explosive
Stone Window,Explosive 5.56 Rifle Ammo,185,1 min 18 sec,Explosive
Stone Window,Explosive 5.56 Rifle Ammo,173,1 min 12 sec,Explosive
Stone Window,Flashlight,1283,4 hours 59 min 9 sec,Melee
Stone Window,Flashlight,129,29 min 55 sec,Melee
Stone Window,Jackhammer,88,18 min 7 sec,Melee
Stone Window,JackhammerWorkbench Refill,5,27 min 2 sec,Melee
Stone Window,Jackhammer,9,1 min 48 sec,Melee
Stone Window,JackhammerWorkbench Refill,1,2 min 10 sec,Melee
Stone Window,Bone Club,869,4 hours 17 min 31 sec,Melee
Stone Window,Bone Club,87,25 min 44 sec,Melee
Stone Window,Bone Knife,373,1 hour 50 min 22 sec,Melee
Stone Window,Bone Knife,36,11 min ,Melee
Stone Window,Chainsaw,695,1 hour 21 min ,Melee
Stone Window,Chainsaw,70,8 min 5 sec,Melee
Stone Window,Salvaged Cleaver,209,2 hours 22 min 22 sec,Melee
Stone Window,Salvaged Cleaver,21,14 min 14 sec,Melee
Stone Window,Hatchet,150,2 hours 32 min 29 sec,Melee
Stone Window,Hatchet,15,15 min 14 sec,Melee
Stone Window,Combat Knife,314,52 min 50 sec,Melee
Stone Window,Combat Knife,32,5 min 17 sec,Melee
Stone Window,Mace,264,2 hours 51 min 3 sec,Melee
Stone Window,Mace,27,17 min 6 sec,Melee
Stone Window,Machete,275,2 hours 3 min 37 sec,Melee
Stone Window,Machete,28,12 min 22 sec,Melee
Stone Window,Paddle,194,2 hours 56 min 50 sec,Melee
Stone Window,Paddle,19,17 min 40 sec,Melee
Stone Window,Pickaxe,72,1 hour 45 min 21 sec,Melee
Stone Window,Pickaxe,7,10 min 31 sec,Melee
Stone Window,Rock,736,9 hours 13 min 55 sec,Melee
Stone Window,Rock,74,55 min 23 sec,Melee
Stone Window,Salvaged Axe,94,1 hour 51 min 13 sec,Melee
Stone Window,Salvaged Axe,10,11 min 7 sec,Melee
Stone Window,Salvaged Hammer,116,2 hours 20 min 49 sec,Melee
Stone Window,Salvaged Hammer,12,14 min 5 sec,Melee
Stone Window,Salvaged Icepick,64,1 hour 15 min 28 sec,Melee
Stone Window,Salvaged Icepick,7,7 min 33 sec,Melee
Stone Window,Stone Hatchet,642,4 hours 20 min 41 sec,Melee
Stone Window,Stone Hatchet,65,26 min 4 sec,Melee
Stone Window,Stone Pickaxe,340,2 hours 2 min 50 sec,Melee
Stone Window,Stone Pickaxe,33,12 min 15 sec,Melee
Stone Window,Stone Spear,260,1 hour 15 min 46 sec,Melee
Stone Window,Stone Spear,26,7 min 34 sec,Melee
Stone Window,Longsword,209,1 hour 54 min 36 sec,Melee
Stone Window,Longsword,21,11 min 28 sec,Melee
Stone Window,Salvaged Sword,157,1 hour 46 min 46 sec,Melee
Stone Window,Salvaged Sword,16,10 min 40 sec,Melee
Stone Window,Torch,1924,18 hours 35 min 23 sec,Melee
Stone Window,TorchLit,7143,20 hours 2 min 22 sec,Melee
Stone Window,Torch,193,1 hour 51 min 32 sec,Melee
Stone Window,TorchLit,715,2 hours 14 sec,Melee
Stone Window,Wooden Spear,236,1 hour 43 min 55 sec,Melee
Stone Window,Wooden Spear,23,10 min 22 sec,Melee
Metal Window,40mm HE Grenade,57,1 min 12 sec,Explosive
Metal Window,40mm HE Grenade,56,1 min 12 sec,Explosive
Metal Window,Rocket,8,42 sec,Explosive
Metal Window,High Velocity Rocket,67,6 min 36 sec,Explosive
Metal Window,Timed Explosive Charge,4,14 sec,Explosive
Metal Window,Beancan Grenade ,112,7 min 2 sec,Explosive
Metal Window,F1 Grenade ,993,49 min 41 sec,Explosive
Metal Window,Satchel Charge,23,42 sec,Explosive
Metal Window,Explosive 5.56 Rifle Ammo,400,2 min 51 sec,Explosive
Metal Window,Explosive 5.56 Rifle Ammo,399,2 min 51 sec,Explosive
Metal Window,Flashlight,5129,19 hours 56 min 35 sec,Melee
Metal Window,Flashlight,513,1 hour 59 min 39 sec,Melee
Metal Window,Jackhammer,439,1 hour 30 min 38 sec,Melee
Metal Window,JackhammerWorkbench Refill,25,2 hours 17 min 50 sec,Melee
Metal Window,Jackhammer,44,9 min 3 sec,Melee
Metal Window,JackhammerWorkbench Refill,3,13 min 16 sec,Melee
Metal Window,Bone Club,3473,17 hours 10 min 5 sec,Melee
Metal Window,Bone Club,348,1 hour 43 min ,Melee
Metal Window,Bone Knife,1737,8 hours 35 min 2 sec,Melee
Metal Window,Bone Knife,167,51 min 22 sec,Melee
Metal Window,Chainsaw,2778,5 hours 24 min 3 sec,Melee
Metal Window,Chainsaw,278,32 min 23 sec,Melee
Metal Window,Salvaged Cleaver,834,9 hours 29 min 27 sec,Melee
Metal Window,Salvaged Cleaver,84,56 min 57 sec,Melee
Metal Window,Hatchet,598,10 hours 9 min 57 sec,Melee
Metal Window,Hatchet,59,1 hour 58 sec,Melee
Metal Window,Combat Knife,1466,4 hours 6 min 38 sec,Melee
Metal Window,Combat Knife,147,24 min 39 sec,Melee
Metal Window,Mace,1053,11 hours 24 min 12 sec,Melee
Metal Window,Mace,106,1 hour 8 min 25 sec,Melee
Metal Window,Machete,1099,8 hours 14 min 30 sec,Melee
Metal Window,Machete,110,49 min 27 sec,Melee
Metal Window,Paddle,776,11 hours 47 min 22 sec,Melee
Metal Window,Paddle,76,1 hour 10 min 42 sec,Melee
Metal Window,Pickaxe,345,8 hours 25 min 44 sec,Melee
Metal Window,Pickaxe,35,50 min 34 sec,Melee
Metal Window,Rock,2942,36 hours 55 min 41 sec,Melee
Metal Window,Rock,295,3 hours 41 min 34 sec,Melee
Metal Window,Salvaged Axe,397,7 hours 49 min 34 sec,Melee
Metal Window,Salvaged Axe,39,46 min 56 sec,Melee
Metal Window,Salvaged Hammer,463,9 hours 23 min 16 sec,Melee
Metal Window,Salvaged Hammer,46,56 min 19 sec,Melee
Metal Window,Salvaged Icepick,298,5 hours 52 min 10 sec,Melee
Metal Window,Salvaged Icepick,30,35 min 12 sec,Melee
Metal Window,Stone Hatchet,2565,17 hours 22 min 44 sec,Melee
Metal Window,Stone Hatchet,257,1 hour 44 min 16 sec,Melee
Metal Window,Stone Pickaxe,1611,9 hours 42 min 24 sec,Melee
Metal Window,Stone Pickaxe,155,58 min 7 sec,Melee
Metal Window,Stone Spear,1299,6 hours 18 min 47 sec,Melee
Metal Window,Stone Spear,130,37 min 52 sec,Melee
Metal Window,Longsword,834,7 hours 38 min 21 sec,Melee
Metal Window,Longsword,84,45 min 51 sec,Melee
Metal Window,Salvaged Sword,625,7 hours 7 min 4 sec,Melee
Metal Window,Salvaged Sword,61,42 min 40 sec,Melee
Metal Window,Torch,7693,74 hours 21 min 32 sec,Melee
Metal Window,TorchLit,28572,80 hours 9 min 31 sec,Melee
Metal Window,Torch,770,7 hours 26 min 9 sec,Melee
Metal Window,TorchLit,2858,8 hours 57 sec,Melee
Metal Window,Wooden Spear,1177,8 hours 39 min 36 sec,Melee
Metal Window,Wooden Spear,118,51 min 57 sec,Melee
Armored Window,40mm HE Grenade,114,2 min 26 sec,Explosive
Armored Window,40mm HE Grenade,111,2 min 24 sec,Explosive
Armored Window,Rocket,15,1 min 24 sec,Explosive
Armored Window,High Velocity Rocket,134,13 min 18 sec,Explosive
Armored Window,Timed Explosive Charge,8,20 sec,Explosive
Armored Window,Beancan Grenade ,223,13 min 58 sec,Explosive
Armored Window,F1 Grenade ,1986,1 hour 39 min 20 sec,Explosive
Armored Window,Satchel Charge,46,1 min 16 sec,Explosive
Armored Window,Explosive 5.56 Rifle Ammo,799,5 min 46 sec,Explosive
Armored Window,Explosive 5.56 Rifle Ammo,798,5 min 46 sec,Explosive
Armored Window,Flashlight,10257,39 hours 53 min 10 sec,Melee
Armored Window,Flashlight,1026,3 hours 59 min 19 sec,Melee
Armored Window,Jackhammer,878,3 hours 1 min 17 sec,Melee
Armored Window,JackhammerWorkbench Refill,49,4 hours 35 min 40 sec,Melee
Armored Window,Jackhammer,87,18 min 6 sec,Melee
Armored Window,JackhammerWorkbench Refill,5,26 min 50 sec,Melee
Armored Window,Bone Club,6945,34 hours 20 min 10 sec,Melee
Armored Window,Bone Club,695,3 hours 26 min ,Melee
Armored Window,Bone Knife,3473,17 hours 10 min 5 sec,Melee
Armored Window,Bone Knife,334,1 hour 42 min 46 sec,Melee
Armored Window,Chainsaw,5556,10 hours 48 min 8 sec,Melee
Armored Window,Chainsaw,556,1 hour 4 min 48 sec,Melee
Armored Window,Salvaged Cleaver,1667,18 hours 58 min 54 sec,Melee
Armored Window,Salvaged Cleaver,167,1 hour 53 min 54 sec,Melee
Armored Window,Hatchet,1195,20 hours 19 min 54 sec,Melee
Armored Window,Hatchet,118,2 hours 1 min 57 sec,Melee
Armored Window,Combat Knife,2931,8 hours 13 min 17 sec,Melee
Armored Window,Combat Knife,294,49 min 20 sec,Melee
Armored Window,Mace,2106,22 hours 48 min 25 sec,Melee
Armored Window,Mace,211,2 hours 16 min 50 sec,Melee
Armored Window,Machete,2198,16 hours 29 min ,Melee
Armored Window,Machete,220,1 hour 38 min 54 sec,Melee
Armored Window,Paddle,1551,23 hours 34 min 43 sec,Melee
Armored Window,Paddle,152,2 hours 21 min 24 sec,Melee
Armored Window,Pickaxe,690,16 hours 51 min 29 sec,Melee
Armored Window,Pickaxe,69,1 hour 41 min 8 sec,Melee
Armored Window,Rock,5883,73 hours 51 min 22 sec,Melee
Armored Window,Rock,589,7 hours 23 min 8 sec,Melee
Armored Window,Salvaged Axe,794,15 hours 39 min 9 sec,Melee
Armored Window,Salvaged Axe,78,1 hour 33 min 53 sec,Melee
Armored Window,Salvaged Hammer,926,18 hours 46 min 32 sec,Melee
Armored Window,Salvaged Hammer,92,1 hour 52 min 38 sec,Melee
Armored Window,Salvaged Icepick,596,11 hours 44 min 22 sec,Melee
Armored Window,Salvaged Icepick,59,1 hour 10 min 25 sec,Melee
Armored Window,Stone Hatchet,5129,34 hours 45 min 28 sec,Melee
Armored Window,Stone Hatchet,513,3 hours 28 min 32 sec,Melee
Armored Window,Stone Pickaxe,3221,19 hours 24 min 47 sec,Melee
Armored Window,Stone Pickaxe,309,1 hour 56 min 15 sec,Melee
Armored Window,Stone Spear,2598,12 hours 37 min 35 sec,Melee
Armored Window,Stone Spear,260,1 hour 15 min 46 sec,Melee
Armored Window,Longsword,1667,15 hours 16 min 40 sec,Melee
Armored Window,Longsword,167,1 hour 31 min 40 sec,Melee
Armored Window,Salvaged Sword,1250,14 hours 14 min 9 sec,Melee
Armored Window,Salvaged Sword,122,1 hour 25 min 21 sec,Melee
Armored Window,Torch,15385,148 hours 43 min 4 sec,Melee
Armored Window,TorchLit,57143,160 hours 19 min 2 sec,Melee
Armored Window,Torch,1539,14 hours 52 min 18 sec,Melee
Armored Window,TorchLit,5715,16 hours 1 min 54 sec,Melee
Armored Window,Wooden Spear,2353,17 hours 19 min 12 sec,Melee
Armored Window,Wooden Spear,236,1 hour 43 min 55 sec,Melee
Twig Steps,40mm HE Grenade,1,1 sec,Explosive
Twig Steps,Rocket,1,1 sec,Explosive
Twig Steps,Incendiary Rocket,1,1 sec,Explosive
Twig Steps,High Velocity Rocket,1,1 sec,Explosive
Twig Steps,Timed Explosive Charge,1,10 sec,Explosive
Twig Steps,Beancan Grenade ,1,6 sec,Explosive
Twig Steps,Fire Arrow,1,1 sec,Explosive
Twig Steps,F1 Grenade ,1,5 sec,Explosive
Twig Steps,Flame Thrower,2,17 sec,Explosive
Twig Steps,Satchel Charge,1,9 sec,Explosive
Twig Steps,Explosive 5.56 Rifle Ammo,1,1 sec,Explosive
Twig Steps,Flashlight,1,4 sec,Melee
Twig Steps,Jackhammer,1,1 sec,Melee
Twig Steps,JackhammerWorkbench Refill,1,,Melee
Twig Steps,Bone Club,1,3 sec,Melee
Twig Steps,Bone Knife,1,2 sec,Melee
Twig Steps,Chainsaw,1,1 sec,Melee
Twig Steps,Salvaged Cleaver,1,2 sec,Melee
Twig Steps,Hatchet,1,1 sec,Melee
Twig Steps,Combat Knife,1,1 sec,Melee
Twig Steps,Mace,1,2 sec,Melee
Twig Steps,Machete,1,2 sec,Melee
Twig Steps,Paddle,1,2 sec,Melee
Twig Steps,Pickaxe,1,3 sec,Melee
Twig Steps,Rock,1,6 sec,Melee
Twig Steps,Salvaged Axe,1,2 sec,Melee
Twig Steps,Salvaged Hammer,1,2 sec,Melee
Twig Steps,Salvaged Icepick,1,2 sec,Melee
Twig Steps,Stone Hatchet,1,3 sec,Melee
Twig Steps,Stone Pickaxe,1,2 sec,Melee
Twig Steps,Stone Spear,1,3 sec,Melee
Twig Steps,Longsword,1,2 sec,Melee
Twig Steps,Salvaged Sword,1,1 sec,Melee
Twig Steps,Torch,1,13 sec,Melee
Twig Steps,TorchLit,1,9 sec,Melee
Twig Steps,Wooden Spear,1,3 sec,Melee
Wooden Steps,40mm HE Grenade,8,8 sec,Explosive
Wooden Steps,Rocket,2,6 sec,Explosive
Wooden Steps,Incendiary Rocket,1,20 sec,Explosive
Wooden Steps,High Velocity Rocket,8,42 sec,Explosive
Wooden Steps,Timed Explosive Charge,1,10 sec,Explosive
Wooden Steps,Beancan Grenade ,13,51 sec,Explosive
Wooden Steps,Fire Arrow,125,2 min 4 sec,Explosive
Wooden Steps,F1 Grenade ,59,2 min 59 sec,Explosive
Wooden Steps,Flame Thrower,206,44 sec,Explosive
Wooden Steps,Satchel Charge,3,12 sec,Explosive
Wooden Steps,Explosive 5.56 Rifle Ammo,44,15 sec,Explosive
Wooden Steps,Flashlight,65,14 min 58 sec,Melee
Wooden Steps,Jackhammer,3,27 sec,Melee
Wooden Steps,JackhammerWorkbench Refill,1,31 sec,Melee
Wooden Steps,Bone Club,44,12 min 52 sec,Melee
Wooden Steps,Bone Knife,4,1 min 16 sec,Melee
Wooden Steps,Chainsaw,3,23 sec,Melee
Wooden Steps,Salvaged Cleaver,1,42 sec,Melee
Wooden Steps,Hatchet,2,1 min 12 sec,Melee
Wooden Steps,Combat Knife,4,36 sec,Melee
Wooden Steps,Mace,14,8 min 33 sec,Melee
Wooden Steps,Machete,2,37 sec,Melee
Wooden Steps,Paddle,10,8 min 50 sec,Melee
Wooden Steps,Pickaxe,1,1 min 34 sec,Melee
Wooden Steps,Rock,37,27 min 41 sec,Melee
Wooden Steps,Salvaged Axe,1,42 sec,Melee
Wooden Steps,Salvaged Hammer,6,7 min 2 sec,Melee
Wooden Steps,Salvaged Icepick,1,52 sec,Melee
Wooden Steps,Stone Hatchet,5,1 min 52 sec,Melee
Wooden Steps,Stone Pickaxe,10,3 min 27 sec,Melee
Wooden Steps,Stone Spear,7,1 min 54 sec,Melee
Wooden Steps,Longsword,1,34 sec,Melee
Wooden Steps,Salvaged Sword,1,31 sec,Melee
Wooden Steps,Torch,97,55 min 46 sec,Melee
Wooden Steps,TorchLit,179,30 min 3 sec,Melee
Wooden Steps,Wooden Spear,6,2 min 35 sec,Melee
Stone Steps,40mm HE Grenade,27,32 sec,Explosive
Stone Steps,Rocket,4,18 sec,Explosive
Stone Steps,High Velocity Rocket,31,3 min ,Explosive
Stone Steps,Timed Explosive Charge,2,11 sec,Explosive
Stone Steps,Beancan Grenade ,46,2 min 55 sec,Explosive
Stone Steps,F1 Grenade ,182,9 min 8 sec,Explosive
Stone Steps,Satchel Charge,10,22 sec,Explosive
Stone Steps,Explosive 5.56 Rifle Ammo,173,1 min 12 sec,Explosive
Stone Steps,Flashlight,129,29 min 55 sec,Melee
Stone Steps,Jackhammer,9,1 min 48 sec,Melee
Stone Steps,JackhammerWorkbench Refill,1,2 min 10 sec,Melee
Stone Steps,Bone Club,87,25 min 44 sec,Melee
Stone Steps,Bone Knife,36,11 min ,Melee
Stone Steps,Chainsaw,70,8 min 5 sec,Melee
Stone Steps,Salvaged Cleaver,21,14 min 14 sec,Melee
Stone Steps,Hatchet,15,15 min 14 sec,Melee
Stone Steps,Combat Knife,32,5 min 17 sec,Melee
Stone Steps,Mace,27,17 min 6 sec,Melee
Stone Steps,Machete,28,12 min 22 sec,Melee
Stone Steps,Paddle,19,17 min 40 sec,Melee
Stone Steps,Pickaxe,7,10 min 31 sec,Melee
Stone Steps,Rock,74,55 min 23 sec,Melee
Stone Steps,Salvaged Axe,10,11 min 7 sec,Melee
Stone Steps,Salvaged Hammer,12,14 min 5 sec,Melee
Stone Steps,Salvaged Icepick,7,7 min 33 sec,Melee
Stone Steps,Stone Hatchet,65,26 min 4 sec,Melee
Stone Steps,Stone Pickaxe,33,12 min 15 sec,Melee
Stone Steps,Stone Spear,26,7 min 34 sec,Melee
Stone Steps,Longsword,21,11 min 28 sec,Melee
Stone Steps,Salvaged Sword,16,10 min 40 sec,Melee
Stone Steps,Torch,193,1 hour 51 min 32 sec,Melee
Stone Steps,TorchLit,715,2 hours 14 sec,Melee
Stone Steps,Wooden Spear,23,10 min 22 sec,Melee
Metal Steps,40mm HE Grenade,56,1 min 12 sec,Explosive
Metal Steps,Rocket,8,42 sec,Explosive
Metal Steps,High Velocity Rocket,67,6 min 36 sec,Explosive
Metal Steps,Timed Explosive Charge,4,14 sec,Explosive
Metal Steps,Beancan Grenade ,112,7 min 2 sec,Explosive
Metal Steps,F1 Grenade ,993,49 min 41 sec,Explosive
Metal Steps,Satchel Charge,23,42 sec,Explosive
Metal Steps,Explosive 5.56 Rifle Ammo,399,2 min 51 sec,Explosive
Metal Steps,Flashlight,513,1 hour 59 min 39 sec,Melee
Metal Steps,Jackhammer,44,9 min 3 sec,Melee
Metal Steps,JackhammerWorkbench Refill,3,13 min 16 sec,Melee
Metal Steps,Bone Club,348,1 hour 43 min ,Melee
Metal Steps,Bone Knife,167,51 min 22 sec,Melee
Metal Steps,Chainsaw,278,32 min 23 sec,Melee
Metal Steps,Salvaged Cleaver,84,56 min 57 sec,Melee
Metal Steps,Hatchet,59,1 hour 58 sec,Melee
Metal Steps,Combat Knife,147,24 min 39 sec,Melee
Metal Steps,Mace,106,1 hour 8 min 25 sec,Melee
Metal Steps,Machete,110,49 min 27 sec,Melee
Metal Steps,Paddle,76,1 hour 10 min 42 sec,Melee
Metal Steps,Pickaxe,35,50 min 34 sec,Melee
Metal Steps,Rock,295,3 hours 41 min 34 sec,Melee
Metal Steps,Salvaged Axe,39,46 min 56 sec,Melee
Metal Steps,Salvaged Hammer,46,56 min 19 sec,Melee
Metal Steps,Salvaged Icepick,30,35 min 12 sec,Melee
Metal Steps,Stone Hatchet,257,1 hour 44 min 16 sec,Melee
Metal Steps,Stone Pickaxe,155,58 min 7 sec,Melee
Metal Steps,Stone Spear,130,37 min 52 sec,Melee
Metal Steps,Longsword,84,45 min 51 sec,Melee
Metal Steps,Salvaged Sword,61,42 min 40 sec,Melee
Metal Steps,Torch,770,7 hours 26 min 9 sec,Melee
Metal Steps,TorchLit,2858,8 hours 57 sec,Melee
Metal Steps,Wooden Spear,118,51 min 57 sec,Melee
Armored Steps,40mm HE Grenade,111,2 min 24 sec,Explosive
Armored Steps,Rocket,15,1 min 24 sec,Explosive
Armored Steps,High Velocity Rocket,134,13 min 18 sec,Explosive
Armored Steps,Timed Explosive Charge,8,20 sec,Explosive
Armored Steps,Beancan Grenade ,223,13 min 58 sec,Explosive
Armored Steps,F1 Grenade ,1986,1 hour 39 min 20 sec,Explosive
Armored Steps,Satchel Charge,46,1 min 16 sec,Explosive
Armored Steps,Explosive 5.56 Rifle Ammo,798,5 min 46 sec,Explosive
Armored Steps,Flashlight,1026,3 hours 59 min 19 sec,Melee
Armored Steps,Jackhammer,87,18 min 6 sec,Melee
Armored Steps,JackhammerWorkbench Refill,5,26 min 50 sec,Melee
Armored Steps,Bone Club,695,3 hours 26 min ,Melee
Armored Steps,Bone Knife,334,1 hour 42 min 46 sec,Melee
Armored Steps,Chainsaw,556,1 hour 4 min 48 sec,Melee
Armored Steps,Salvaged Cleaver,167,1 hour 53 min 54 sec,Melee
Armored Steps,Hatchet,118,2 hours 1 min 57 sec,Melee
Armored Steps,Combat Knife,294,49 min 20 sec,Melee
Armored Steps,Mace,211,2 hours 16 min 50 sec,Melee
Armored Steps,Machete,220,1 hour 38 min 54 sec,Melee
